mean,max
66.63016,203.24237
59.212196,182.02628
60.393257,185.62083
61.84973,188.0644
64.53723,178.30927
63.649364,166.64682
55.175762,173.8807
54.33517,166.79338
55.266685,172.47372
55.167633,153.91904
53.771603,156.97035
55.851994,168.0267
56.627583,169.10709
55.760128,177.5046
57.273937,184.44159
52.05263,169.59346
53.458454,176.66606
50.643482,158.23764
51.067753,155.37453
51.962498,172.61902
